model,model_tag,dataset,question_num,eval_mode,prompt_key,prompt_name,phase,task_idx,decision,choice_code,p_switch,reply
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_2_switch_task,Switch Task,before,,switch,1,0.987554,switch
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_3_continue_conversation,Continue Conv,before,,switch,1,0.806486,switch
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,2,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_1_switch_user,Switch User,before,,continue,0,2.1e-05,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_2_switch_task,Switch Task,before,,switch,1,0.996781,switch
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.485948,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,3,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,4,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,5,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,6,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,7,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,8,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,9,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,1,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,10,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,2,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_2_switch_task,Switch Task,before,,continue,0,3.6e-05,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,3,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,4,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.000228,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention_answerable,5,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
